mes referencia        ano referencia        nome        área        nome do gestor        data inicio        data termino        Quant. Dias
novembro        2023        Brent Nears        planejamento        Skyvu        9/14/2023        1/11/2024        24
maio        2024        Kariotta Gynn        midia        Flipopia        9/30/2023        8/10/2023        6
janeiro        2024        Bayard Hospital        cultura e talentos        Flashpoint        8/22/2023        5/6/2023        4
maio        2023        Kali Maron        criação        Rhycero        6/9/2023        7/18/2023        6
novembro        2023        Fonz Bouldstridge        produção        Shuffledrive        11/15/2023        10/4/2023        17
dezembro        2024        Darlene Daymond        planejamento        Devify        7/17/2023        10/31/2023        11
janeiro        2024        Wilfred Meeny        midia        Dabjam        8/1/2023        4/8/2023        7
dezembro        2023        Torrance Thorndycraft        experience        Eire        11/19/2023        6/24/2023        6
janeiro        2024        Nickola Antonsson        experience        Chatterbridge        7/31/2023        9/1/2023        12
dezembro        2023        Filberto Sunley        criação        Flashpoint        9/29/2023        11/8/2023        17
janeiro        2023        Rad Cuer        planejamento        Tagfeed        4/27/2023        5/30/2023        12
dezembro        2023        Joane Rozalski        facilities cardinia        Twinte        10/19/2023        12/21/2023        3
maio        2024        Lavinia Brabbs        planejamento        Skiba        6/10/2023        6/21/2023        10
janeiro        2023        Yvonne Norvill        produção        Zooxo        10/20/2023        8/20/2023        26
maio        2023        Shanan Bartalin        produção        Riffpath        7/2/2023        12/18/2023        5
dezembro        2023        Ruth Caldecott        produção        Omba        10/3/2023        9/17/2023        26
dezembro        2024        Sean Forst        experience        Riffpath        12/3/2023        9/14/2023        13
novembro        2024        Ingeborg Klimentyonok        produção        Flashdog        6/11/2023        8/16/2023        15
novembro        2023        Susanetta Ranyell        produção        Thoughtstorm        5/21/2023        5/26/2023        22
novembro        2024        Emmit Lambourne        cultura e talentos        Gigabox        10/13/2023        12/27/2023        3
dezembro        2024        Nicko Schreurs        negócios        Skiptube        10/18/2023        5/7/2023        9
maio        2023        Marylin Avrahm        facilities cardinia        Skyba        4/15/2023        7/15/2023        19
dezembro        2023        Alvinia Power        facilities cardinia        Babbleblab        7/22/2023        1/16/2024        7
dezembro        2023        Gallagher Yepiskopov        produção        Skyvu        11/17/2023        8/22/2023        25
novembro        2023        Polly Lait        cultura e talentos        Brainsphere        4/21/2023        6/26/2023        13
dezembro        2023        Jerrine Stanton        planejamento        Trudoo        9/25/2023        10/3/2023        1
novembro        2023        Dael Mumford        facilities cardinia        Brainlounge        8/10/2023        5/28/2023        23
dezembro        2024        Chan Uff        midia        Avamm        9/15/2023        6/22/2023        23
janeiro        2024        Archy Bould        facilities cardinia        Zoonoodle        4/22/2023        8/24/2023        3
maio        2023        Prince Ledner        planejamento        Meetz        4/25/2023        1/15/2024        6
novembro        2024        Kaja Isakovitch        experience        Abatz        10/1/2023        6/17/2023        15
maio        2024        Stacy Lovelace        midia        Jayo        9/24/2023        9/10/2023        25
