mes referencia,ano referencia,id_funcionario,nome,tipo_desligamento,data_demissao,cargo
junho,2024,870-26-5986,Gerard Durran,Dispensa sem Justa Causa,2024-10-20,diretor de criacao
abril,2024,866-26-3608,Jard Dugget,Dispensa sem Justa Causa,2024-02-29,executivo de contas
junho,2024,260-49-9909,Maure Ferguson,Pedido de Demissão,2024-07-21,diretor de criacao
julho,2024,330-13-2767,Marguerite Jupe,Dispensa sem Justa Causa,2024-09-21,coordenador de midia
junho,2024,190-45-1192,Olivier Hurche,Pedido de Demissão,2024-04-04,supervisor de planejamento
março,2024,536-90-6083,Kora Weatherill,Dispensa sem Justa Causa,2024-08-13,gerente de negocios
julho,2024,192-27-5047,Shirley Rubinsaft,Dispensa sem Justa Causa,2024-06-30,supervisor de planejamento
janeiro,2024,257-65-2559,Gabriela Union,Dispensa sem Justa Causa,2024-09-27,diretor de criacao
abril,2024,410-48-7264,Winthrop Ascough,Dispensa sem Justa Causa,2024-03-04,coordenador de midia
outubro,2024,382-91-8104,Jeno Cursey,Dispensa sem Justa Causa,2024-11-19,supervisor de planejamento
agosto,2024,492-65-2709,Elmore Phifer,Dispensa sem Justa Causa,2024-06-29,diretor de criacao
agosto,2024,778-98-8378,Burnard Inchan,Pedido de Demissão,2024-09-01,executivo de contas
novembro,2024,480-79-9045,Obed Posselt,Dispensa sem Justa Causa,2024-11-02,coordenador de midia
maio,2024,266-92-3042,Gretel Kliemke,Dispensa sem Justa Causa,2024-03-14,coordenador de midia
novembro,2024,125-79-1804,Lynea Spurett,Dispensa sem Justa Causa,2024-07-27,diretor de criacao
janeiro,2024,495-41-1322,Rustin Cokayne,Pedido de Demissão,2024-11-07,coordenador de midia
maio,2024,464-47-5333,Merl Monini,Dispensa sem Justa Causa,2024-11-10,executivo de contas
setembro,2024,451-26-8503,Lillian Gorbell,Pedido de Demissão,2024-10-14,diretor de criacao
janeiro,2024,491-69-4849,Hakim Musla,Pedido de Demissão,2024-08-08,gerente de negocios
julho,2024,952-31-9364,Tyne Shillitoe,Dispensa sem Justa Causa,2024-08-16,gerente de planejamento
outubro,2024,948-25-6458,Minni Hounsome,Pedido de Demissão,2024-06-15,coordenador de midia
abril,2024,993-99-6511,Geoffrey Ibeson,Dispensa sem Justa Causa,2024-05-01,supervisor de planejamento
maio,2024,609-20-7105,Alden Symers,Dispensa sem Justa Causa,2024-12-05,gerente de negocios
junho,2024,644-57-4489,Galven Krauss,Dispensa sem Justa Causa,2024-10-06,gerente de negocios
agosto,2024,356-35-4528,Ruth Fursey,Dispensa sem Justa Causa,2024-05-13,coordenador de midia
janeiro,2024,940-13-7776,Yulma Gidney,Dispensa sem Justa Causa,2024-01-06,gerente de negocios
maio,2024,603-65-1861,Gilles Risborough,Pedido de Demissão,2024-02-04,coordenador de midia
junho,2024,185-49-5837,La verne Licas,Dispensa sem Justa Causa,2024-11-07,gerente de planejamento
agosto,2024,277-75-5468,Tanya Michelin,Dispensa sem Justa Causa,2024-11-10,gerente de planejamento
dezembro,2024,202-93-4352,Briny Shaves,Pedido de Demissão,2024-12-03,gerente de planejamento
janeiro,2024,131-99-7440,Tamma Munroe,Pedido de Demissão,2024-01-26,gerente de negocios
maio,2024,198-74-2328,Norrie Jehaes,Pedido de Demissão,2024-07-20,diretor de criacao
agosto,2024,730-82-6512,Leicester Jeandot,Pedido de Demissão,2024-08-27,gerente de planejamento
dezembro,2024,539-23-5362,Rikki Tullot,Pedido de Demissão,2024-08-01,diretor de criacao
março,2024,626-56-9487,Arda Shuter,Dispensa sem Justa Causa,2024-07-18,supervisor de planejamento
junho,2024,241-29-6469,Rozanne Tibbs,Dispensa sem Justa Causa,2024-11-18,coordenador de midia
setembro,2024,344-63-2640,D'arcy Tott,Pedido de Demissão,2024-04-22,coordenador de midia
abril,2024,205-54-2413,Vernor Cinderey,Dispensa sem Justa Causa,2024-06-11,gerente de negocios
julho,2024,785-28-8342,Cort Vasnetsov,Pedido de Demissão,2024-05-25,gerente de negocios
março,2024,605-86-3439,Alix Challiss,Dispensa sem Justa Causa,2024-07-31,gerente de negocios
outubro,2024,237-62-4891,Rhea Renowden,Pedido de Demissão,2024-06-30,executivo de contas
março,2024,552-15-9325,Zebedee Makey,Pedido de Demissão,2024-01-13,coordenador de midia
janeiro,2024,168-49-2959,Adriano Alvarado,Pedido de Demissão,2024-05-05,gerente de planejamento
janeiro,2024,172-45-1347,Frederick Hynde,Dispensa sem Justa Causa,2024-01-31,gerente de negocios
julho,2024,244-79-9352,Gabrielle Whyatt,Pedido de Demissão,2024-10-14,gerente de negocios
dezembro,2024,882-76-4103,Tiler Groves,Dispensa sem Justa Causa,2024-08-22,coordenador de midia
março,2024,330-27-2148,Becki Chill,Pedido de Demissão,2024-02-05,gerente de negocios
setembro,2024,494-32-7653,Barton Bourgour,Dispensa sem Justa Causa,2024-10-10,diretor de criacao
outubro,2024,702-31-5901,Alyosha Biddwell,Dispensa sem Justa Causa,2024-07-02,executivo de contas
novembro,2024,316-13-5758,Hart Briance,Dispensa sem Justa Causa,2024-05-28,diretor de criacao
março,2024,729-23-7084,Stanly Antoniewski,Dispensa sem Justa Causa,2024-12-24,gerente de negocios
outubro,2024,487-58-4769,Avery Hayton,Pedido de Demissão,2024-01-21,diretor de criacao
agosto,2024,181-72-3155,Yance Dockrell,Pedido de Demissão,2024-01-02,executivo de contas
julho,2024,558-52-1357,Sheila MacDonagh,Pedido de Demissão,2024-06-13,supervisor de planejamento
janeiro,2024,287-48-2827,Garey Alwood,Dispensa sem Justa Causa,2024-02-14,diretor de criacao
julho,2024,913-18-3329,Isadore Larive,Pedido de Demissão,2024-10-10,supervisor de planejamento
outubro,2024,730-97-8235,Garry Anwell,Dispensa sem Justa Causa,2024-04-19,gerente de planejamento
abril,2024,848-15-8634,Teirtza Smalls,Pedido de Demissão,2024-02-04,gerente de negocios
maio,2024,809-69-4984,Desiree Walklett,Dispensa sem Justa Causa,2024-05-10,gerente de negocios
janeiro,2024,360-81-1028,Lydie Lowell,Dispensa sem Justa Causa,2024-06-09,executivo de contas
abril,2024,977-31-6711,Archibaldo Gobeau,Pedido de Demissão,2024-01-31,supervisor de planejamento
dezembro,2024,765-72-9776,Adeline Byrkmyr,Dispensa sem Justa Causa,2024-10-26,gerente de negocios
maio,2024,682-21-7980,Kinny Burroughes,Dispensa sem Justa Causa,2024-04-12,gerente de negocios
julho,2024,872-84-2060,Zebedee O'Dowgaine,Dispensa sem Justa Causa,2024-12-21,coordenador de midia
fevereiro,2024,616-11-6227,Malvina Fierman,Dispensa sem Justa Causa,2024-10-30,executivo de contas
dezembro,2024,901-11-4384,Wallas Rowatt,Dispensa sem Justa Causa,2024-01-20,gerente de planejamento
abril,2024,768-38-1755,Jody Turfus,Pedido de Demissão,2024-04-19,supervisor de planejamento
junho,2024,718-74-9444,Gail De Metz,Pedido de Demissão,2024-11-26,supervisor de planejamento
setembro,2024,538-55-8543,Burt Simcox,Dispensa sem Justa Causa,2024-12-21,coordenador de midia
abril,2024,937-74-2144,Abagael Hinemoor,Pedido de Demissão,2024-10-12,supervisor de planejamento
outubro,2024,235-34-4862,Abraham Dregan,Pedido de Demissão,2024-07-12,diretor de criacao
abril,2024,101-87-3906,Ddene Carlson,Dispensa sem Justa Causa,2024-09-12,diretor de criacao
setembro,2024,949-74-6594,Dosi Pressey,Pedido de Demissão,2024-01-14,supervisor de planejamento
abril,2024,647-93-3912,Vonnie Kiehl,Pedido de Demissão,2024-05-07,diretor de criacao
junho,2024,674-94-2528,Dov Bortolussi,Dispensa sem Justa Causa,2024-04-10,gerente de planejamento
novembro,2024,278-12-8110,Jens Ponde,Pedido de Demissão,2024-03-22,supervisor de planejamento
dezembro,2024,422-85-2358,Bryon Hucks,Dispensa sem Justa Causa,2024-06-30,diretor de criacao
fevereiro,2024,959-58-9376,Magdaia Jenteau,Pedido de Demissão,2024-04-06,supervisor de planejamento
dezembro,2024,153-34-6690,Ralph Skirrow,Pedido de Demissão,2024-08-19,coordenador de midia
maio,2024,506-81-3581,Lauren Denisovo,Pedido de Demissão,2024-02-23,executivo de contas
janeiro,2024,167-90-4679,Michal Nowland,Dispensa sem Justa Causa,2024-05-07,coordenador de midia
dezembro,2024,968-62-3274,Fraze Spurdon,Pedido de Demissão,2024-03-28,coordenador de midia
janeiro,2024,900-62-2074,Harmonia Michal,Pedido de Demissão,2024-12-25,executivo de contas
junho,2024,963-16-7495,Lindsy Brusby,Pedido de Demissão,2024-07-25,executivo de contas
novembro,2024,489-91-6195,Goldia Daens,Pedido de Demissão,2024-02-15,gerente de planejamento
agosto,2024,493-42-8734,Debi Huckerby,Pedido de Demissão,2024-06-25,diretor de criacao
março,2024,275-95-8850,Geoffrey Uphill,Pedido de Demissão,2024-08-15,coordenador de midia
julho,2024,409-50-1201,Valentia Simonetti,Dispensa sem Justa Causa,2024-07-14,diretor de criacao
setembro,2024,934-22-2546,Johnathan Hallett,Dispensa sem Justa Causa,2024-04-04,supervisor de planejamento
novembro,2024,682-96-8890,Cory O'Lennachain,Pedido de Demissão,2024-09-13,coordenador de midia
abril,2024,995-79-4168,Pegeen Clever,Dispensa sem Justa Causa,2024-04-03,coordenador de midia
setembro,2024,947-36-8347,Filippa Lapthorn,Pedido de Demissão,2024-06-17,diretor de criacao
julho,2024,630-27-9808,Jeddy Gosnoll,Dispensa sem Justa Causa,2024-03-18,executivo de contas
junho,2024,558-82-3007,Amandy McMurdo,Pedido de Demissão,2024-08-24,executivo de contas
março,2024,285-56-8321,Baxy Strass,Pedido de Demissão,2024-09-26,gerente de negocios
março,2024,295-88-2155,Ariana Ranshaw,Pedido de Demissão,2024-12-20,coordenador de midia
dezembro,2024,569-84-6896,Jaynell Noads,Dispensa sem Justa Causa,2024-03-17,gerente de negocios
julho,2024,306-29-9871,Brana Pinock,Dispensa sem Justa Causa,2024-03-18,coordenador de midia
abril,2024,959-56-6109,Karoline Stopper,Dispensa sem Justa Causa,2024-06-27,diretor de criacao
fevereiro,2024,829-56-8296,Avrom Newart,Dispensa sem Justa Causa,2024-11-07,supervisor de planejamento
fevereiro,2024,526-82-9957,Arron Bruun,Dispensa sem Justa Causa,2024-04-30,executivo de contas
abril,2024,232-27-5464,Thelma Mayte,Pedido de Demissão,2024-08-20,diretor de criacao
agosto,2024,488-91-2046,Rubetta Illem,Pedido de Demissão,2024-03-28,diretor de criacao
julho,2024,849-96-8707,Carleton Dummigan,Dispensa sem Justa Causa,2024-08-16,executivo de contas
novembro,2024,498-61-3093,Zelda Camlin,Dispensa sem Justa Causa,2024-01-09,coordenador de midia
setembro,2024,471-32-8265,Birch Lowsely,Dispensa sem Justa Causa,2024-07-24,executivo de contas
novembro,2024,642-77-8051,My Sorey,Dispensa sem Justa Causa,2024-01-07,gerente de planejamento
julho,2024,386-18-6945,Malory Rushbrooke,Pedido de Demissão,2024-06-17,executivo de contas
setembro,2024,466-97-1925,Wilton Nield,Pedido de Demissão,2024-11-11,diretor de criacao
dezembro,2024,423-15-9329,Edith Cowpland,Pedido de Demissão,2024-10-14,coordenador de midia
dezembro,2024,181-97-4822,Mufinella Bodycote,Pedido de Demissão,2024-05-29,executivo de contas
abril,2024,469-42-1356,Noach Chumley,Pedido de Demissão,2024-08-30,diretor de criacao
janeiro,2024,707-76-8293,Crystie Falvey,Dispensa sem Justa Causa,2024-07-10,gerente de negocios
janeiro,2024,185-14-1111,Brooks Hawkeswood,Pedido de Demissão,2024-08-04,executivo de contas
julho,2024,830-48-8904,Kamilah Baumadier,Dispensa sem Justa Causa,2024-03-19,executivo de contas
janeiro,2024,338-91-1212,Tony Karleman,Pedido de Demissão,2024-12-11,supervisor de planejamento
julho,2024,798-74-2233,Xena Sidary,Dispensa sem Justa Causa,2024-07-12,diretor de criacao
setembro,2024,103-79-2729,Myrtle Geerling,Dispensa sem Justa Causa,2024-02-22,coordenador de midia
março,2024,725-76-5687,Elfreda Doumerc,Pedido de Demissão,2024-05-01,executivo de contas
novembro,2024,802-64-9727,Kassi Zanotti,Dispensa sem Justa Causa,2024-10-28,gerente de planejamento
dezembro,2024,183-73-7013,Kermy Christian,Dispensa sem Justa Causa,2024-06-05,diretor de criacao
agosto,2024,878-62-4532,Shell Bubbins,Dispensa sem Justa Causa,2024-01-12,diretor de criacao
setembro,2024,116-22-4547,Ransell Fawlo,Dispensa sem Justa Causa,2024-04-10,diretor de criacao
outubro,2024,125-99-8816,Olimpia Clunie,Dispensa sem Justa Causa,2024-04-03,diretor de criacao
junho,2024,644-48-4857,Royal Raxworthy,Pedido de Demissão,2024-04-14,executivo de contas
junho,2024,481-89-1257,Sari Cooling,Dispensa sem Justa Causa,2024-10-07,supervisor de planejamento
novembro,2024,763-76-7465,Ira Maty,Dispensa sem Justa Causa,2024-10-28,gerente de negocios
agosto,2024,401-42-2973,Lanae Hockell,Pedido de Demissão,2024-05-01,gerente de planejamento
junho,2024,313-11-8984,Anica Sarre,Pedido de Demissão,2024-09-05,coordenador de midia
maio,2024,648-15-6442,Pearl Breache,Dispensa sem Justa Causa,2024-04-14,diretor de criacao
novembro,2024,962-72-9134,Aurore Gemnett,Dispensa sem Justa Causa,2024-05-12,executivo de contas
março,2024,750-91-2176,Alexi Proback,Pedido de Demissão,2024-04-20,executivo de contas
setembro,2024,752-76-1564,Billy Wickins,Dispensa sem Justa Causa,2024-09-05,coordenador de midia
abril,2024,865-36-5074,Alex Matzke,Pedido de Demissão,2024-01-23,diretor de criacao
junho,2024,409-31-3623,Chlo Crozier,Dispensa sem Justa Causa,2024-05-09,supervisor de planejamento
novembro,2024,249-95-3399,Ferrell Noden,Dispensa sem Justa Causa,2024-09-17,gerente de planejamento
setembro,2024,276-23-3875,Willie Weiss,Pedido de Demissão,2024-08-02,diretor de criacao
agosto,2024,502-15-5707,Aldon Benedicto,Dispensa sem Justa Causa,2024-05-16,gerente de planejamento
maio,2024,255-47-5109,Daphna Petts,Pedido de Demissão,2024-03-09,supervisor de planejamento
abril,2024,811-39-8497,Yule Moulsdall,Dispensa sem Justa Causa,2024-10-14,coordenador de midia
dezembro,2024,750-10-6266,Robbi Dungate,Pedido de Demissão,2024-04-26,gerente de planejamento
agosto,2024,703-86-7682,Gar Bearward,Dispensa sem Justa Causa,2024-07-23,gerente de negocios
novembro,2024,415-63-6927,Langston Safell,Dispensa sem Justa Causa,2024-11-18,supervisor de planejamento
